iter	MultiClass
0	1.08815104
1	1.077972169
2	1.068062208
3	1.058385077
4	1.048976162
5	1.039805988
6	1.030883424
7	1.022130309
8	1.01361472
9	1.005276578
10	0.9971582242
11	0.989200713
12	0.9814310827
13	0.973842465
14	0.9664323385
15	0.9591905312
16	0.9521116526
17	0.9451647514
18	0.9383667814
19	0.9317138301
20	0.9252014634
21	0.9188338547
22	0.9125850083
23	0.9064681394
24	0.9004748146
25	0.8945996436
26	0.8888408005
27	0.8831975029
28	0.8776659254
29	0.8722378954
30	0.86691037
31	0.8616922172
32	0.8565697003
33	0.8515504701
34	0.8466096613
35	0.8417663142
36	0.8370112997
37	0.8323346198
38	0.8277480983
39	0.823250779
40	0.818827621
41	0.8144884486
42	0.810219699
43	0.806030588
44	0.8019124214
45	0.7978665903
46	0.793887965
47	0.7899802842
48	0.7861417221
49	0.78235376
50	0.7786344818
51	0.7749824965
52	0.7713927614
53	0.7678584951
54	0.7643896959
55	0.7609899284
56	0.7576312843
57	0.7543243705
58	0.7510790115
59	0.7478843394
60	0.7447335729
61	0.7416393184
62	0.7385856658
63	0.7355749623
64	0.7325746049
65	0.7296259778
66	0.7267614232
67	0.7239458604
68	0.7211698994
69	0.7184367138
70	0.7157062234
71	0.7130198993
72	0.7104066497
73	0.7078023117
74	0.7052650926
75	0.7027723876
76	0.7002790306
77	0.697866312
78	0.6954542455
79	0.6930746082
80	0.6907283565
81	0.6884582658
82	0.6862029986
83	0.6839784652
84	0.6817934034
85	0.6796422054
86	0.677485704
87	0.6753980168
88	0.673333804
89	0.6712843277
90	0.6692594125
91	0.6672875752
92	0.6653290399
93	0.6634129757
94	0.6615236895
95	0.65966392
96	0.6578049329
97	0.6559580743
98	0.6541619461
99	0.6523593842
100	0.650604336
101	0.6488757615
102	0.6471773557
103	0.6454902959
104	0.6438258409
105	0.642185034
106	0.6405626153
107	0.6389775815
108	0.6374217601
109	0.6358501153
110	0.6342912075
111	0.6328004185
112	0.6313048477
113	0.629818058
114	0.628334659
115	0.6269099022
116	0.6254498037
117	0.6240685612
118	0.6226638879
119	0.6212894269
120	0.6199178349
121	0.6185895834
122	0.6172958911
123	0.6159758556
124	0.6146867278
125	0.6134052944
126	0.6121475526
127	0.6109084597
128	0.6097087949
129	0.6085323001
130	0.6073773668
131	0.6062042192
132	0.6050701954
133	0.6039234346
134	0.602785455
135	0.6016520397
136	0.6005490541
137	0.5994766719
138	0.5983984212
139	0.5973247784
140	0.5962642638
141	0.5952244413
142	0.5941997901
143	0.5931827898
144	0.5921770049
145	0.5911881737
146	0.5902069064
147	0.5892744569
148	0.5883296182
149	0.5873972991
150	0.5864875848
151	0.5855715672
152	0.5846771112
153	0.5838182578
154	0.5829617518
155	0.5821141574
156	0.5812495224
157	0.5804096657
158	0.579569896
159	0.5787376903
160	0.5778939212
161	0.5770745394
162	0.576259635
163	0.5754713348
164	0.5746967713
165	0.573916774
166	0.573132734
167	0.5723622568
168	0.5716122978
169	0.5708780753
170	0.570136115
171	0.5694150642
172	0.5687270512
173	0.5680326915
174	0.5673212912
175	0.5666716194
176	0.5659885187
177	0.565335804
178	0.5646732214
179	0.5640145947
180	0.5633646187
181	0.5627084698
182	0.5620584938
183	0.5614339483
184	0.560806664
185	0.5601960291
186	0.5595950448
187	0.5589661521
188	0.5583787741
189	0.5577821803
190	0.5572133209
191	0.5566291597
192	0.5560767758
193	0.5555104811
194	0.5549509679
195	0.5544037135
196	0.5538691526
197	0.5533304619
198	0.5528033345
199	0.5522830755
200	0.5517759882
201	0.5512751606
202	0.5507582923
203	0.5502595948
204	0.5497737647
205	0.5492591569
206	0.5487718922
207	0.5482913221
208	0.5477959284
209	0.5473416146
210	0.5468748682
211	0.5464012969
212	0.5459470701
213	0.5454857575
214	0.5450225757
215	0.544590519
216	0.5441562888
217	0.5437284053
218	0.5432793515
219	0.5428452952
220	0.5424111954
221	0.5419596203
222	0.5415589061
223	0.5411343264
224	0.5407414369
225	0.54035146
226	0.5399597877
227	0.5395829825
228	0.5392010042
229	0.5387795544
230	0.5383964459
231	0.5380130331
232	0.5376593108
233	0.5372492504
234	0.5368706194
235	0.5364922492
236	0.5361135747
237	0.5357442464
238	0.5353924369
239	0.5350145449
240	0.5346408261
241	0.5343039271
242	0.5339391198
243	0.5335993082
244	0.5332628004
245	0.5329513753
246	0.5325929148
247	0.5322610149
248	0.5319179431
249	0.5315998234
250	0.5312714012
251	0.5309428052
252	0.5306532459
253	0.5303293012
254	0.5300219623
255	0.5296964527
256	0.5293953302
257	0.5291027714
258	0.5287802178
259	0.5284723138
260	0.5282043596
261	0.5279339275
262	0.5276320659
263	0.5273719799
264	0.5270794211
265	0.5267818632
266	0.5265263416
267	0.5262477805
268	0.5259845645
269	0.5257368677
270	0.5254387881
271	0.5251477074
272	0.5248577134
273	0.524578022
274	0.5243342376
275	0.5240662833
276	0.523778289
277	0.5235099869
278	0.5232755922
279	0.5230361113
280	0.5227567677
281	0.5225299803
282	0.5222804577
283	0.5220525401
284	0.5218029305
285	0.5215694921
286	0.5213402269
287	0.5210995723
288	0.5208576136
289	0.5206196977
290	0.5203854333
291	0.5201799032
292	0.5199768944
293	0.5197460642
294	0.5195076701
295	0.5192580606
296	0.5190552256
297	0.5188581723
298	0.5186452086
299	0.5184461991
300	0.5182245848
301	0.5180460501
302	0.5178290436
303	0.517607864
304	0.5173874233
305	0.5172095841
306	0.5170174865
307	0.5168294751
308	0.5166145553
309	0.5164131549
310	0.5162190576
311	0.5160010078
312	0.5158145614
313	0.5156367657
314	0.5154353218
315	0.5152544831
316	0.5151016831
317	0.5149307992
318	0.5147359629
319	0.5145046546
320	0.5143231638
321	0.5141264582
322	0.5139587912
323	0.5137952104
324	0.5136195882
325	0.5134380105
326	0.51325026
327	0.513072073
328	0.5129204467
329	0.5127502149
330	0.5125585085
331	0.512366237
332	0.5122061339
333	0.5120165575
334	0.5118519769
335	0.5116874398
336	0.5115298145
337	0.5113699722
338	0.51116166
339	0.5110189017
340	0.5108675797
341	0.5107232131
342	0.510564588
343	0.5104121792
344	0.5102752895
345	0.5101145344
346	0.5099623864
347	0.5098003706
348	0.5096568299
349	0.5095455011
350	0.5094073073
351	0.5092514643
352	0.5090940999
353	0.5089543411
354	0.5088083225
355	0.508661565
356	0.5085298918
357	0.508376092
358	0.5082282911
359	0.5080805772
360	0.5079389057
361	0.5078030159
362	0.5076854273
363	0.5075524934
364	0.5074167775
365	0.5072888428
366	0.5071445631
367	0.5070027177
368	0.5068820861
369	0.5067697575
370	0.5066455178
371	0.5065195393
372	0.5063913438
373	0.5062742768
374	0.5061483418
375	0.5060245803
376	0.5059011231
377	0.5057720582
378	0.5056616423
379	0.5055270566
380	0.5053686488
381	0.5052286727
382	0.5051056068
383	0.504977107
384	0.5048692993
385	0.5047495371
386	0.5046302966
387	0.504507361
388	0.5044071608
389	0.5042663152
390	0.504145162
391	0.5040456572
392	0.5039584547
393	0.5038359104
394	0.5037183218
395	0.5036237293
396	0.5035100965
397	0.5033950292
398	0.5033000889
399	0.5031825437
400	0.5030705194
401	0.5029753617
402	0.5028613377
403	0.5027548341
404	0.5026265082
405	0.5024968781
406	0.502387549
407	0.5023000422
408	0.5021968424
409	0.5021128567
410	0.502015569
411	0.50191263
412	0.5017983452
413	0.5017019269
414	0.5016048565
415	0.5015054822
416	0.5013962399
417	0.50127087
418	0.5011684093
419	0.5010715562
420	0.5009672262
421	0.5008794586
422	0.5007724334
423	0.5006933599
424	0.5005945072
425	0.5005045226
426	0.5003947587
427	0.5003147724
428	0.5002046607
429	0.5001243266
430	0.5000358634
431	0.4999347068
432	0.499824856
433	0.499718309
434	0.4996350188
435	0.4995569452
436	0.4994861747
437	0.4993792364
438	0.4992705593
439	0.4991566657
440	0.4990696371
441	0.4989881292
442	0.4989053173
443	0.4988175931
444	0.49874178
445	0.4986475352
446	0.4985675054
447	0.4984595238
448	0.4983506294
449	0.4982672523
450	0.4981649654
451	0.4980972813
452	0.497999298
453	0.4979067921
454	0.497820459
455	0.4977400379
456	0.4976432718
457	0.4975568083
458	0.4974782131
459	0.4973988353
460	0.4973268476
461	0.4972565987
462	0.4971691354
463	0.4970816721
464	0.496995252
465	0.4969162655
466	0.4968199776
467	0.4967404694
468	0.4966542668
469	0.4965619347
470	0.4964909468
471	0.4964148728
472	0.4963274095
473	0.4962240358
474	0.496144832
475	0.4960598465
476	0.495974035
477	0.4959162623
478	0.4958341459
479	0.4957476389
480	0.4956717823
481	0.4955968386
482	0.4955301108
483	0.4954658174
484	0.4954016545
485	0.4953297537
486	0.4952426816
487	0.4951758669
488	0.4951104868
489	0.49502298
490	0.4949419069
491	0.4948797001
492	0.4947935409
493	0.4947244223
494	0.4946520433
495	0.4945828377
496	0.4945231523
497	0.494457946
498	0.4943897403
499	0.4943115362
500	0.4942350275
501	0.4941602577
502	0.4940962686
503	0.4940320622
504	0.493965291
505	0.4938901299
506	0.4938184465
507	0.4937533706
508	0.4936605169
509	0.4935979189
510	0.4935457104
511	0.493485938
512	0.4934227314
513	0.4933542214
514	0.4932752783
515	0.4932198095
516	0.4931546033
517	0.4930839197
518	0.493030581
519	0.4929576369
520	0.4928888225
521	0.4928235293
522	0.4927534109
523	0.4926978986
524	0.4926363439
525	0.4925674861
526	0.4925110609
527	0.4924426378
528	0.4923863866
529	0.4923190937
530	0.4922702325
531	0.4922071128
532	0.4921555129
533	0.4921029567
534	0.4920348379
535	0.4919765435
536	0.491911685
537	0.4918479567
538	0.4917965742
539	0.4917524948
540	0.4916787682
541	0.4916049547
542	0.4915343146
543	0.491485236
544	0.491418943
545	0.4913569101
546	0.4912940513
547	0.4912227591
548	0.4911528145
549	0.4911005626
550	0.4910477455
551	0.4909887121
552	0.4909363297
553	0.4908840343
554	0.4908234794
555	0.4907382331
556	0.4906958056
557	0.4906316861
558	0.4905753044
559	0.4905146626
560	0.4904584548
561	0.4904181573
562	0.4903615583
563	0.490315827
564	0.4902527942
565	0.4902016291
566	0.4901538981
567	0.4900990379
568	0.4900502636
569	0.4900047496
570	0.4899379349
571	0.4898835964
572	0.4898426469
573	0.4897699201
574	0.4896973238
575	0.489626988
576	0.4895662593
577	0.4895076171
578	0.4894549304
579	0.4894061561
580	0.4893464272
581	0.4892903933
582	0.489231273
583	0.4891812815
584	0.4891309423
585	0.4890842111
586	0.4890372626
587	0.4889783596
588	0.4889247601
589	0.4888677263
590	0.4888042589
591	0.4887454863
592	0.4886867137
593	0.4886471987
594	0.4885977724
595	0.4885404778
596	0.4884912688
597	0.4884503628
598	0.4884078483
599	0.4883563788
600	0.488302388
601	0.488253266
602	0.4882151855
603	0.488166107
604	0.4880999009
605	0.4880517786
606	0.4879821384
607	0.4879418844
608	0.4878891977
609	0.4878370327
610	0.487785911
611	0.4877460917
612	0.4876980999
613	0.4876422399
614	0.4875843367
615	0.4875300416
616	0.4874740946
617	0.487422147
618	0.4873795456
619	0.4873387699
620	0.4872816927
621	0.4872309188
622	0.4871831443
623	0.4871351525
624	0.4870815095
625	0.4870232151
626	0.4869762231
627	0.4869082347
628	0.486870589
629	0.4868269442
630	0.4867794741
631	0.4867383072
632	0.4866942278
633	0.4866425409
634	0.4865856376
635	0.4865310382
636	0.486489567
637	0.4864477046
638	0.4863985391
639	0.4863562854
640	0.4863266818
641	0.4862713434
642	0.4862315241
643	0.4861861406
644	0.4861439739
645	0.4861053718
646	0.4860559454
647	0.4860229076
648	0.4859774805
649	0.4859164475
650	0.4858662821
651	0.4858183773
652	0.4857767757
653	0.4857265668
654	0.4856791402
655	0.4856370604
656	0.4856112387
657	0.4855616385
658	0.4855282529
659	0.4854835648
660	0.4854402244
661	0.4853831037
662	0.4853352858
663	0.4852785564
664	0.4852353898
665	0.4851992221
666	0.4851706617
667	0.4851303643
668	0.4850794599
669	0.4850455961
670	0.4850146884
671	0.4849867366
672	0.4849411792
673	0.4848978387
674	0.4848558894
675	0.4848071586
676	0.4847588625
677	0.4846948299
678	0.4846637483
679	0.4846387525
680	0.4845859355
681	0.484532249
682	0.4844779974
683	0.484438352
684	0.4844064444
685	0.4843706244
686	0.4843313702
687	0.4842927246
688	0.4842491669
689	0.4842105213
690	0.4841551394
691	0.4841217973
692	0.4840819345
693	0.4840385941
694	0.4840020351
695	0.4839618246
696	0.4839319167
697	0.48388662
698	0.4838575815
699	0.4838288038
700	0.4837914189
701	0.4837580333
702	0.4837153884
703	0.4836756126
704	0.4836360541
705	0.4836025381
706	0.4835546332
707	0.4835037724
708	0.4834680828
709	0.4834246989
710	0.4833666653
711	0.4833327146
712	0.4832843316
713	0.4832508155
714	0.4831996938
715	0.4831628306
716	0.4831230982
717	0.4830918427
718	0.4830537187
719	0.4830096393
720	0.482960126
721	0.4829223933
722	0.4828812699
723	0.4828483625
724	0.4828122817
725	0.482780548
726	0.4827329039
727	0.4826730446
728	0.4826433105
729	0.4826115334
730	0.4825568905
731	0.4825095942
732	0.4824816425
733	0.4824440402
734	0.4824072639
735	0.4823638365
736	0.4823231478
737	0.4822920227
738	0.4822564201
739	0.4822178179
740	0.4821842585
741	0.4821548287
742	0.4821225733
743	0.4820950998
744	0.48205828
745	0.4820234598
746	0.4819894222
747	0.4819461687
748	0.4819096532
749	0.4818691818
750	0.481839752
751	0.481804845
752	0.4817639389
753	0.4817279885
754	0.4816942117
755	0.4816460895
756	0.481605705
757	0.4815407161
758	0.4814948544
759	0.4814714671
760	0.4814347342
761	0.4813966972
762	0.4813714407
763	0.4813330994
764	0.4812971925
765	0.4812535478
766	0.481221901
767	0.4811879503
768	0.4811372198
769	0.4810897062
770	0.4810492348
771	0.4810070681
772	0.4809734651
773	0.4809463393
774	0.4809067374
775	0.4808724824
776	0.4808307504
777	0.4807793244
778	0.4807610666
779	0.480713466
780	0.4806882095
781	0.4806584754
782	0.4806321756
783	0.4806064843
784	0.4805690994
785	0.4805171952
786	0.4804798972
787	0.4804352961
788	0.4803969549
789	0.4803663514
790	0.4803277493
791	0.4802987108
792	0.4802541966
793	0.4802143338
794	0.4801679505
795	0.4801363037
796	0.480105309
797	0.4800768356
798	0.4800244967
799	0.4799862423
800	0.4799545086
801	0.4799136026
802	0.4798746092
803	0.4798353985
804	0.4797801471
805	0.4797603244
806	0.479724374
807	0.4796943357
808	0.4796634714
809	0.4796354761
810	0.4796012211
811	0.4795696178
812	0.4795400576
813	0.4794928048
814	0.4794610711
815	0.4794339888
816	0.4794018204
817	0.4793689564
818	0.479352481
819	0.4793182259
820	0.4792884919
821	0.4792490638
822	0.4792132439
823	0.4791772065
824	0.4791278237
825	0.4791081748
826	0.4790793537
827	0.4790533146
828	0.4790127998
829	0.4789746324
830	0.4789359868
831	0.4788996887
832	0.4788685636
833	0.478840351
834	0.4788168767
835	0.4787786224
836	0.4787464974
837	0.4787227189
838	0.4786995924
839	0.4786670762
840	0.4786266483
841	0.4785907849
842	0.4785485312
843	0.4785267523
844	0.4784896282
845	0.4784562861
846	0.4784190316
847	0.4783933838
848	0.4783701704
849	0.4783373934
850	0.4783071377
851	0.4782713177
852	0.4782383233
853	0.4782021121
854	0.4781720738
855	0.4781371232
856	0.478096478
857	0.4780607015
858	0.4780348798
859	0.4780121445
860	0.4779820627
861	0.4779488945
862	0.4779161174
863	0.477889948
864	0.4778502591
865	0.4778095269
866	0.4777798798
