iter	Passed	Remaining
0	13	273497
1	25	270842
2	37	259382
3	48	255482
4	61	258091
5	73	257957
6	85	256700
7	95	251178
8	106	248575
9	114	240714
10	123	236157
11	133	233678
12	142	229595
13	152	228790
14	160	224888
15	170	223115
16	179	221566
17	188	219291
18	196	217388
19	205	215608
20	215	215449
21	224	214284
22	232	212432
23	243	212396
24	255	214058
25	264	213510
26	272	211873
27	281	210490
28	290	209923
29	298	208545
30	307	208058
31	315	206731
32	323	205301
33	332	205163
34	341	204444
35	350	204188
36	359	203619
37	369	203782
38	378	203172
39	387	203001
40	396	202878
41	406	202631
42	414	202119
43	423	201531
44	432	201447
45	441	201132
46	450	200693
47	460	201138
48	471	201789
49	481	201729
50	490	201429
51	498	200784
52	507	200591
53	515	199956
54	523	199377
55	532	199323
56	541	199049
57	550	198847
58	560	198854
59	571	199412
60	580	199255
61	589	199098
62	599	199295
63	608	198955
64	618	199198
65	627	199021
66	638	199508
67	650	200352
68	662	200933
69	673	201513
70	683	201562
71	693	201488
72	703	201592
73	711	201297
74	720	200937
75	729	200803
76	738	200537
77	747	200564
78	758	200777
79	767	200644
80	778	200942
81	789	201361
82	801	201885
83	809	201656
84	821	202032
85	831	202177
86	843	202685
87	852	202506
88	862	202650
89	874	203138
90	886	203775
91	898	204088
92	907	204011
93	917	204134
94	928	204380
95	938	204399
96	949	204663
97	960	204802
98	970	204878
99	981	205179
100	991	205214
101	1002	205404
102	1012	205374
103	1022	205392
104	1032	205409
105	1042	205424
106	1052	205557
107	1064	205852
108	1074	205871
109	1083	205832
110	1094	205947
111	1106	206314
112	1116	206447
113	1126	206380
114	1136	206454
115	1147	206647
116	1156	206497
117	1166	206471
118	1177	206639
119	1190	207098
120	1199	206950
121	1209	206968
122	1220	207074
123	1229	206950
124	1240	207102
125	1250	207211
126	1259	207058
127	1269	207081
128	1280	207193
129	1290	207119
130	1301	207318
131	1311	207382
132	1324	207748
133	1334	207847
134	1344	207798
135	1354	207776
136	1364	207844
137	1374	207835
138	1385	207959
139	1397	208186
140	1407	208280
141	1416	208102
142	1427	208170
143	1437	208200
144	1446	208079
145	1458	208374
146	1470	208575
147	1486	209440
148	1519	212667
149	1535	213476
